Host,Second Host,Key
Greece,,1896Summer
France,,1900Summer
USA,,1904Summer
Greece,,1906Summer
UK,,1908Summer
Sweden,,1912Summer
Belgium,,1920Summer
France,,1924Summer
France,,1924Winter
Netherlands,,1928Summer
Switzerland,,1928Winter
USA,,1932Summer
USA,,1932Winter
Germany,,1936Summer
Germany,,1936Winter
UK,,1948Summer
Switzerland,,1948Winter
Finland,,1952Summer
Norway,,1952Winter
Australia,Sweden,1956Summer
Italy,,1956Winter
USA,,1960Winter
Italy,,1960Summer
Japan,,1964Summer
Austria,,1964Winter
France,,1968Winter
Mexico,,1968Summer
Germany,,1972Summer
Japan,,1972Winter
Canada,,1976Summer
Austria,,1976Winter
Russia,,1980Summer
USA,,1980Winter
USA,,1984Summer
Yugoslavia,,1984Winter
South Korea,,1988Summer
Canada,,1988Winter
France,,1992Winter
Spain,,1992Summer
Norway,,1994Winter
USA,,1996Summer
Japan,,1998Winter
Australia,,2000Summer
USA,,2002Winter
Greece,,2004Summer
Italy,,2006Winter
China,,2008Summer
Canada,,2010Winter
UK,,2012Summer
Russia,,2014Winter
Brazil,,2016Summer